business_name,rating,review
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"The classic afternoon tea was proper. The service was perfect - discreet, agreeable, and attentive - and the place is stunning. Even though everything was quite good, the food was not extraordinary to be honest (you'd expect almost perfection from such a place).

For £35 as of February 2023 (very pricey, but with the past few years' inflation it is sadly currently one of the least expensive luxurious afternoon teas you can find), you get 5 sandwiches (e.g. smoked trout, cucumber, egg, ham, curry), 2 scones with clotted cream, lemon curd & strawberry jam, and 3 mini pastries, along with a tea to choose from a selection.
Scones and jams were delicious, but the sandwiches could have had more fillings given the slices of bread - very good - were quite thick. Being French I found 1 of the 3 pasties was delicious while the others were just fine.

They don't tell you that there and the website doesn't say it either, but at £35 it's good to know that you can ask refills of whatever you want for no extra charge. The price also includes a tea tasting. It's best to not go too late before the end of the service to make sure you can actually get refills and taste different teas."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Lovely staff, in relaxed up-market shopping mall eatery and bar, great to dine in such an open large space and admire the architecture. Like most diners we ate with the Virgin experience dinner mene, good selection and great cocktails."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Gorgeous spot for intimate dinner with a delicious cocktail and wine selection and well seasoned dishes. Definitely go for the three course dinner. The ambience, the service, and the food were all top notch. I will definitely return!"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Absolutely fantastic.
Food and service was outstanding 👌 you can add to the menu for a few pounds.
We had 2020 Argentian Malbec and it was beautiful.
Location was stunning 😍
Staff who served us where a credit to the company.
Highly recommended 👌"
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"I tried a small plate as I wasn't too hungry - I had the beluga which comes with a nice presentation, and scrambled eggs to your liking, cooked on an arriving trolley.  Excellent with a nice glass of champagne.

With the Royal Exchange behind as a backdrop, one cant really complain, can one?  Recommend this place for a nice high end drink for meeting and chatting with friends or family."
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"Gave 4 overall as we were sitting near the door and every time it opened a cold gust of wind came in.
Staff advised there was nothing they could do other than provide a blanket"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Enjoyed a really lovely meal here, definitely retains  the class, charm and pomp of the St James’s location and that helps sell the experience of a quintessentially British menu. I ordered here the Dorset crab and the calves liver and bacon, both of which were delicious but the liver really stood out to me as classic comfort food.

The staff were all friendly and attentive if a little slow in service, but you really can’t fault it.

Would highly recommend this place to anyone!"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,We had afternoon Tea at this place. It was brilliant and very tasty. The Tea flavours was fantastic and the scones was best of all the choosings. And after the Tea go to the shop and buy the Tea in beautifully boxes
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,Beautiful buding and extraordinary location. You feel royal having a cup of tea or English breakfast here. Accomodates to dietary requirements. The building is a little bit cold like a typical old building or museum so I always bring a silk cashmere scarf from Hermes as a blanket when eating here. The toilets are downstairs to the left directly after the entrance in case you dont like asking for locations. There is a Fortnum & Mason gift shop next to the restaurant where you can buy great teas and high end biscuits or jams. The shop is much more luxurious and peaceful than the original stressful shop near Green Park. We hosted an engagement dinner here one evening as there was live music in the large building with great accustics while dining. I hope this helps. Kindest #ingavardhan
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"This little outpost of Fortnum & Mason is like one of those London secrets you don't want to share. The location is outstanding. The champagne is delicious. It's got the feeling of a first class lounge - classy, quiet, relaxed and just a touch indulgent. All the things I love. The oysters are fantastic, as is the service. And on top of all that, I think it's extraordinary good value for money."
The Fortnum’s Bar & Restaurant at Royal Exchange,3.0,"Popped in for a drink last night whilst checking out the area around The Ned where we are staying this week.

The bar staff member that served us couldn't understand my BBC Scottish accent, which is fine. But he just looked annoyed that we were there. Not the best service or experience really considering how lovely all the other F&M venues are.

The floor staff were lovely and courteous.

Very good Espresso Martini."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Giving the service 4 because the guy who sat us was big and gruff (not smiley)but perfectly polite (had a nasty cough unfortunately). I just would’ve preferred a more genteel type of service. Also very very strong wind and cold because of the v big automatic doors on 3 of the 4 walls!  They provide a blanket for your lap, however it’s an uncomfortable picnic blanket (plastic
On inner) to put around your shoulders when your back is to the doors!!  Could be a snuggly throw? The food was delightful and it’s a stunning venue which I would recommend. I am a little picky!"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,Fantastic spot for lunch in the City. Food and service were exceptional. Ordered the fish and chips and my friend ordered the Chicken Caesar- both were great. Highly recommended for lunch.
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,Waited 15 minutes after being seated to be acknowledged. Totally ignored by various members of staff when the place was not even full. Gave up and left for some place better.
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,"The staff are awful, we stand at the entrance waiting for a seat and no one cares about us. Even if they notice us and don't wanna greet us.

So disappointed with that and we decided to just turn around straight away. Hope not related to discrimination because we got an Asian face?"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Had a great experience, the food was lovely, however, the main course was only warm rather than hot.
Everything else was superb."
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,Amazing building here! It was quite interesting to have afternoon tea in Royal Exchange. But I was disappointed to say the food and tea was below Fortnum & Mason standards.
The Fortnum’s Bar & Restaurant at Royal Exchange,2.0,"Fortnum & Mason has a reputation for great food as somewhere so when I found out they had a restaurant in the city I was very keen to go. Unfortunately we left disappointed with our experience. Firstly, the menu we were given on arrival was different to the one on their website (I was particularly looking forward to trying the Beef Wellington which appears on their website in the Dinner menu). The woman, who I believe was the manager,
said “we changed the menu today”. We asked for some recommendations and I decided to go for the shrimp burger, however, this was out of stock. Finally, my third choice was the Lobster spaghetti, which although at least available was quite tasteless. The whole experience was pretty underwhelming and not what you’d expect from Fortnum’s. The only good thing was the service from Arthur, who was very friendly and helpful, and served us a lovely tea at the end."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,My favorite place for a cocktail close to my office. Everyone I bring here loves it.
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,Was a great experience the locations was really nice and had a good atmosphere. Teas selection was really good and different the sandwiches and cakes was standard
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Patricia is a fantastic example of exactly what an attentive and professional waitress should be. Humorous and generous, made the experience very enjoyable."
The Fortnum’s Bar & Restaurant at Royal Exchange,2.0,"Usually I don’t go to such a touristic place to eat. But I know that F&M has a very good lunches and wanted to take my parents there for an afternoon tea. Our plans changed and I’ve rescheduled the table for earlier time just for lunch. As we arrived there we were not too hungry to have a full lunch but wanted some starters and drinks. The food was great. But. The service is so awful!! The guy first gave us only lunch menu. I then asked for drinks menu. Hi gave it to me after 5min waiting (and the place was not too busy). We wanted to have a look at deserts and I needed to ask for menu again. The guy was already not happy. But come on, we may order whatever we want!
The guy was grumpy when we asked for second blanket (it was very chilly). My dad had tea (loose leaf in teapot). I asked waiter if we could add some hot water, he took the teapot and threw couple of words leaving the table “we don’t do this here”. He may just told us in a kindly way and explain. In 5 min he brought a new teapot and add it in bill.
The atmosphere was already ruined.
When we asked for a bill, I decided to check it. They added items worth £30 that we didn’t order!
How come such a well known place couldn’t manage their stuff to be more friendly?
Disappointed."
The Fortnum’s Bar & Restaurant at Royal Exchange,3.0,"The food was great, good selection and amazing presentation. The quality of the service really lacked even meeting some the basic standards. We waited about 30min before being able to order our food, we tried numerous times to make eye contact with the waiter but he was constantly on his phone. This happened multiple times, throughout the evening. At the end of the meal while trying to order desert there was about 10min that went by where we couldn’t see a waiter anywhere. Shame that the service ruined this dinner for us."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Had a fantastic experience at Fortnum & Mason Royal Exchange! The ambiance was elegant, the food exquisite, and the service outstanding. A special thanks to Petras and Romi for their warm hospitality and great recommendations. Looking forward to returning!"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"First time I visited and I would definitely recommend.  It was such a lovely experience, first class service and food.  I had bacon and tomato with sourdough toast and it was all well presented, fresh and beautifully cooked.  It certainly lived up to its reputation.  Our waitress was very friendly and helpful and we did not feel rushed. I would certainly visit again."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,Food very good and the service was good. Would thoroughly recommend. Brilliant.
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,the best selections on the set menu have an additional cost e.g. limited choice if you have a voucher.
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,We enjoyed the most amazing breakfast here. The service was great and the setting is beautiful.
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"If you like awesome service with a friendly smile good quality menu a most go place if you like English tea, surround by a historical building but keep in mind that all this comes at a price it should be a treat unless you have money to go there every day"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,What a nice surrounding with great food and service.
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"We used a Virginia Experience voucher, lovely venue with beautiful shops and architecture all around the glass roof courtyard.
The fixed menu was varied and the food really tasty.
We were treated as valued guests, not rushed, had a great time."
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,"We popped in here whilst it was tipping down outside.  We often visit the shop but wanted to try the champers and oysters at the bar! Unfortunately the manager here has a dreadful inferiority complex which means he feels he has to be rude and superior to assert his authority.  The staff were all grumpy and have no hospitality training whatsoever, no service, no smile, no how was your experience, the chap that gave us the bill could barely grunt at us. Very disappointing given that the staff in the shop are excellent and make the shopping experience there extra special, especially the lady from New Zealand who is fabulous and obviously loves her job."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,A wonderful place to visit for a special treat for afternoon tea. The service was impeccable and the afternoon tea was very generous for the price.
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Fortum's shop in the Royal Exchange is an absolute gem in the neighborhood. You have a great selection of teas, biscuits, honey and jam. Tea tasting is available every day. The interaction with the staff is friendly and fun. Love going there for a little break!"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,One of my go to places in London for Welsh rarebit which is getting harder and harder to find these days. During times of Covid I actually feel comfortable eating here even though it’s indoors because the building is so large that you can actually feel air currents moving around
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,Overall a great experience. We used the Virgin Experience package for a special night out. The building is amazing and the general atmosphere is pretty good. Only complaint is it said cocktail and we clearly just got bubbles. Would have been cool to get a nice cocktail to add to the experience.
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,Lovely venue but service was very poor. The manager is not welcoming. Claims it’s only a place for dinner and don’t serve coffee or tea at 4pm. It’s a convenient place to meet up but after one experience I won’t recommend it.
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Amazing location,  friendly staff and high quality food."
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,"One of the blond female reception staff was so rude! She was shouted to some customers said ""Go to the bar not here!!"". Where is your manner seriously?
It’s a shame that such a beautiful location doesn’t have nice service. I seriously think that they better need to change the staff."
The Fortnum’s Bar & Restaurant at Royal Exchange,3.0,"It’s a beautiful place to sit for a drink especially with all of the Christmas decorations, however when we had a drink here we did seem to be invisible to the staff when it came to ordering... it does have a bit of a snobby vibe, not sure I’d bother returning, I think there’s better places around with much better service for a similar kind of price."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"This is a special place to eat (if it's not cold outside) fab setting. Food was good, although I didn't agree with adding items with a surcharge to the voucher experience menu. Sides are expensive for what they are - new potatoes £6.50. But overall worth going to"
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,Great iconic place. Food OK but expected more for that price.
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Perfect food and perfect service, was a lovely experience and felt very welcomed"
The Fortnum’s Bar & Restaurant at Royal Exchange,3.0,Great food and atmosphere. Service left more to be desired with regards to how long they took to serve us & politeness. In condolence we were offered a free round of champagne
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,"Came here with one of my friends. we used  the virgin experience voucher. Menu was very limited and most dishes required us to pay extra.
Table service was ok but I felt they were rushing us and kept bringing the next course before we had even finished the first. They just wanted us out as soon as possible.
The cocktails were very unpleasant and neither of us drunk them. We weren’t even asked or given an option about which cocktail we would like.  The waiter just brought the cocktails to the table and they tasted more like undiluted blueberry squash.
Wouldn’t come back in a rush if at all.
Starters were delicious but they replaced the trout for salmon hoping we didn’t notice that. Main dish was ok nothing amazing and the cake was pretty average too."
The Fortnum’s Bar & Restaurant at Royal Exchange,2.0,"I remember the good old days when customer service was a Fortnum & Mason priority - oh, how times have changed!

I told the server I was here for coffee and business meeting - I was seated at 11am.  At 11:15 I was asked to order food or move!  Really?  I queried why and was told ""you are not eating""  Duh!  I told you I was not from the outset.

I was moved to the bar and subsequently charged 12.5% service charge for the privilege!  Yet another shady practice.

Come on F&M - sort it out!"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,A lovely experience. Staff were great. Food and drink was lovely. Definitely recommend
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,We had a lovely meal as a gift from our youngest son for my birthday. Beautiful surroundings and the food was very good. Our Hungarian server Robbie was excellent. Very attentive and full of knowledge about the Royal Exchange. Recommend
The Fortnum’s Bar & Restaurant at Royal Exchange,3.0,"If service is anything to go by, it was mediocre at best. Food was good, and the ambiance was tremendous! We had two different waiter (I think there was a change in shift). Both competed in being rude and unwelcoming. Is that a part of the trademark? Is it what makes them special? Was it because I was a tourist? Anyway being from Dubai, I was not impressed and was happy to leave as soon as possible and have lunch elsewhere. Even my guests, who work in the City looked a bit embarrassed.  Not again!"
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"Cool location at the Royal Exchange, like the teas and coffee of Fortnum's but service at the bar where I was made to sit lacked friendly service with a smile. I only ordered a latte but would have anticipated a glass of water and a napkin, neither were supplied and the bill arrived with no smile and  service charge.

Hopefully, basic hospitality training will fix these slight problems."
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,"Very disappointed. I made a reservation for lunch and then called to see if we could just come in for tea service. I was told absolutely and that a reservation wasn’t needed and we could just come in. I therefore canceled the lunch reservation. When we arrived we were informed that you could only have tea service with a reservation and that drinks and a bar menu were available at the bar. On a first come first served basis.  When we explained the situation and what we had been told we then had a manager explain their whole policy to us. While we confirmed we now understood their policy, we repeated what we had been told on the phone and remembered the name of who we spoke to. The manager kept repeating their policy and reservation procedure which of course was not what we had been told on the phone. No apology or accommodation was given and we were made to feel that we must had been confused and made the error. Poor customer service."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,Lovely experience as always. Live music came on about 7/8pm on the Tuesday we were there.
